Year,TF,RDsub,RDsur,DRsub,DRsur,TFranks
2000,52.478,40.166,12.313,0.906,0.094,0.063
2001,155.083,100.851,54.232,0.891,0.109,0.500
2002,38.170,33.806,4.364,0.911,0.089,0.000
2003,59.588,47.744,11.844,0.854,0.146,0.156
2004,104.695,78.377,26.318,0.859,0.141,0.344
2005,146.003,99.884,46.119,0.876,0.124,0.500
2006,53.562,45.454,8.108,0.890,0.110,0.094
2007,63.376,49.306,14.069,0.871,0.129,0.188
2008,96.168,74.084,22.084,0.879,0.121,0.344
2009,58.612,46.770,11.842,0.868,0.132,0.125
2010,56.690,45.266,11.425,0.855,0.145,0.094
